iter	Passed	Remaining
0	2	217
1	4	242
2	7	236
3	8	213
4	10	203
5	12	192
6	14	189
7	16	186
8	19	193
9	24	219
10	26	212
11	28	208
12	30	202
13	32	197
14	34	194
15	36	191
16	38	186
17	39	180
18	41	176
19	43	173
20	45	171
21	47	168
22	49	165
23	52	165
24	54	163
25	56	160
26	58	157
27	61	157
28	63	156
29	65	153
30	67	150
31	69	148
32	72	147
33	74	145
34	76	142
35	79	140
36	81	138
37	82	134
38	84	132
39	86	129
40	88	126
41	88	122
42	90	120
43	92	118
44	94	115
45	96	113
46	98	110
47	100	108
48	101	105
49	103	103
50	105	101
51	107	99
52	109	97
53	111	94
54	112	91
55	113	89
56	116	87
57	118	85
58	120	83
59	122	81
60	124	79
61	126	77
62	130	76
63	132	74
64	134	72
65	137	70
66	138	68
67	140	66
68	142	63
69	143	61
70	145	59
71	147	57
72	149	55
73	151	53
74	153	51
75	155	48
76	157	46
77	159	44
78	160	42
79	162	40
80	164	38
81	165	36
82	167	34
83	169	32
84	171	30
85	172	28
86	174	26
87	175	23
88	177	21
89	179	19
90	181	17
91	182	15
92	184	13
93	186	11
94	188	9
95	190	7
96	191	5
97	193	3
98	195	1
99	196	0
